,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5
,Strip 12,../../hosted-strips/atrial-fibrillation.gif,Identify the rhythm on this strip.,Picture,3,Sinus Bradycardia,Second Degree Heart Block Type I,Atrial Fibrillation,Sinus Arrhythmia,
,Strip 13,../../hosted-strips/supraventricular-tachycardia.gif,Identify the rhythm on this strip.,Picture,4,Premature Atrial Complex,Third Degree Heart Block,Sinus Arrhythmia,Supraventricular Tachycardia,
,Strip 14,../../hosted-strips/wolff-parkinson-white.gif,Identify the rhythm on this strip.,Picture,3,Sinus Exit Block,Junctional Escape Rhythm,Wolff-Parkinson-White Syndrome,Failure to Capture,
,Strip 15,../../hosted-strips/premature-junctional-complex.gif,Identify the rhythm on this strip.,Picture,2,Ventricular Pacemaker Rhythm,Premature Junctional Complex,Sinus Arrhythmia,Failure to Capture,
,Strip 16,../../hosted-strips/junctional-escape-beat.gif,Identify the rhythm on this strip.,Picture,2,Second Degree Heart Block Type I,Junctional Escape Beat,Supraventricular Tachycardia,Third Degree Heart Block,
,Strip 17,../../hosted-strips/junctional-escape-rhythm.gif,Identify the rhythm on this strip.,Picture,1,Junctional Escape Rhythm,Sinus Arrest,Accelerated Junctional Rhythm,Normal Sinus Rhythm,
,Strip 18,../../hosted-strips/accelerated-junctional-rhythm.gif,Identify the rhythm on this strip.,Picture,3,Normal Sinus Rhythm,Atrial Fibrillation,Accelerated Junctional Rhythm,Atrioventricular (Sequential) Pacemaker Rhythm,
,Strip 19,../../hosted-strips/junctional-tachycardia.gif,Identify the rhythm on this strip.,Picture,2,Second Degree Heart Block Type II,Junctional Tachycardia,Sinus Arrest,Sinus Tachycardia,
,Strip 20,../../hosted-strips/first-degree-heart-block.gif,Identify the rhythm on this strip.,Picture,3,Junctional Escape Beat,Accelerated Junctional Rhythm,First Degree Heart Block,Failure to Capture,
,Strip 21,../../hosted-strips/second-degree-heart-block-type-i.gif,Identify the rhythm on this strip.,Picture,2,Sinus Arrhythmia,Second Degree Heart Block Type I,Atrial Fibrillation,Second Degree Heart Block Type II,
,Strip 22,../../hosted-strips/second-degree-heart-block-type-ii.gif,Identify the rhythm on this strip.,Picture,3,Junctional Tachycardia,Ventricular Pacemaker Rhythm,Second Degree Heart Block Type II,Atrial Fibrillation,
,Strip 23,../../hosted-strips/second-degree-heart-block-type-ii-unpatterned.gif,Identify the rhythm on this strip.,Picture,2,Premature Junctional Complex,Second Degree Heart Block Type II,Sinus Bradycardia,Sinus Tachycardia,
,Strip 24,../../hosted-strips/third-degree-heart-block.gif,Identify the rhythm on this strip.,Picture,2,Second Degree Heart Block Type I,Third Degree Heart Block,Junctional Escape Rhythm,Atrial Flutter,
,Strip 25,../../hosted-strips/bundle-branch-block.gif,Identify the rhythm on this strip.,Picture,2,Junctional Escape Beat,Bundle Branch Block,Sinus Arrhythmia,Atrial Fibrillation,
,Strip 26,../../hosted-strips/atrial-pacemaker-rhythm.gif,Identify the rhythm on this strip.,Picture,4,Premature Atrial Complex,Failure to Pace,Atrial Flutter,Atrial Pacemaker Rhythm,
,Strip 27,../../hosted-strips/ventricular-pacemaker-rhythm.gif,Identify the rhythm on this strip.,Picture,2,Sinus Exit Block,Ventricular Pacemaker Rhythm,Atrial Fibrillation,Atrial Pacemaker Rhythm,
,Strip 28,../../hosted-strips/av-sequential-pacemaker-rhythm.gif,Identify the rhythm on this strip.,Picture,1,Atrioventricular (Sequential) Pacemaker Rhythm,Sinus Arrhythmia,Ventricular Pacemaker Rhythm,Second Degree Heart Block Type II,
,Strip 29,../../hosted-strips/failure-to-capture.gif,Identify the rhythm on this strip.,Picture,3,Wolff-Parkinson-White Syndrome,Bundle Branch Block,Failure to Capture,Second Degree Heart Block Type II,
,Strip 30,../../hosted-strips/failure-to-pace.gif,Identify the rhythm on this strip.,Picture,3,Failure to Capture,Wolff-Parkinson-White Syndrome,Failure to Pace,Sinus Pause,
,Strip 31,../../hosted-strips/failure-to-sense.jpg,Identify the rhythm on this strip.,Picture,2,Normal Sinus Rhythm,Failure to Sense,Premature Junctional Complex,Failure to Capture,
