,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Mix,Match FX fundamentals.,Drag items into matching slots.,Mix and match,N/A,"EUR/USD long
===
Bullish EUR vs USD","Major pair
===
Typically includes USD","Pip
===
FX price increment unit","Spread
===
Ask − bid cost/liquidity cue","Session overlap
===
Often peak liquidity",,,
,Ranked,Order FX fundamentals learning.,Drag into the correct order.,Ranked,N/A,Learn pair quoting (base/quote),"Learn pips, spreads, leverage risk",Learn macro/session drivers,Practice SAMPLE charts — not LIVE broker claims,,,,
,Application,Price moves from 1.1000 to 1.1010 on EUR/USD. Roughly how many pips (classic 4-decimal teaching)?,Select the correct answer.,Multiple Choice,2,1 pip,10 pips,1000 pips,0 pips,,,,
,Application,"You want ownership-of-companies practice, not currency pairs. Choose…",Select the correct answer.,Multiple Choice,1,Equities quizzes/path,Only USDJPY SAMPLE forever,Only pip math,Skip risk lessons,,,,
,Macro Drivers,A carry trade (intro) seeks to…,Select the correct answer.,Multiple Choice,2,Ignore interest rates,Borrow low-yielding currency to fund higher-yielding exposure (risk when unwind),Collect stock dividends only,Exercise calls early,,,,
,Macro Drivers,Central-bank FX intervention means authorities…,Select the correct answer.,Multiple Choice,1,Buy/sell currency to influence the exchange rate,Issue IPOs,Set RSI levels,Clear stock trades,,,,
,Macro Calendar,U.S. Nonfarm Payrolls (NFP) is watched in FX because it can…,Select the correct answer.,Multiple Choice,3,Set corporate dividends,Replace pips,Move rate expectations and USD sharply around the release,End all sessions,,,,
,Sizing,A standard FX lot (classic teaching) is often…,Select the correct answer.,Multiple Choice,1,"100,000 units of base currency",100 shares of stock,1 bitcoin always,1 futures tick,,,,Notional education — leverage still applies
,Cross Rates,Triangular relationships among pairs exist because…,Select the correct answer.,Multiple Choice,2,Stocks have three statements,Cross rates must stay roughly consistent with majors (arbitrage bounds in theory),Options have three strikes only,Candles have three wicks,,,,
,Regimes,"In risk-off episodes, some currencies historically act as…",Select the correct answer.,Multiple Choice,1,Relative safe havens (e.g. teaching examples like JPY/CHF — not guarantees),Always the weakest forever,Equity indexes,Stablecoin wallets,,,,
,Cross Rates,Triangular arbitrage / cross-rate consistency means…,Select the correct answer.,Multiple Choice,1,"EUR/USD, USD/JPY, and EUR/JPY should stay roughly coherent vs each other",Stocks have three financial statements,Options need three strikes,Candles need three wicks,,,,Theory/teaching — not a LIVE arb bot
