,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Flash,"Primary vs Secondary market
====
Primary = issuer sells new shares; Secondary = investors trade existing shares among themselves.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match equity fundamentals terms.,Drag items into matching slots.,Mix and match,N/A,"IPO
===
First public share offering","Limit order
===
Price condition; may not fill","Market order
===
Prioritizes immediate fill","Dividend
===
Cash (or stock) distribution to shareholders","ETF
===
Fund shares that trade like a stock",,,
,Ranked,Order a beginner equities learning path (fundamentals).,Drag into the correct order.,Ranked,N/A,Learn ownership & risk/horizon,Learn exchanges/orders/liquidity,Learn statements & valuation basics,Practice decide-and-reveal with SAMPLE cases,,,,
,Application,You need shares today at almost any price during a liquid session. Closest order type?,Select the correct answer.,Multiple Choice,1,Market order,Far away limit that never trades,Ignore the market,Only a futures roll,,,,
,SAMPLE Packs,The Index Proxy SAMPLE pack emphasizes…,Select the correct answer.,Multiple Choice,1,Tight range / calmer wicks than single-name tech,Only crypto chop,Physical oil delivery,Greeks,,,,
,SAMPLE Packs,The Cyclical Energy SAMPLE pack shape is…,Select the correct answer.,Multiple Choice,3,Identical to mega-cap grind,Only upward forever,Sharp selloff then partial recovery,A doji-only tape,,,,
,Market Structure,A trading halt is…,Select the correct answer.,Multiple Choice,3,A candlestick pattern,A forex session,A temporary pause in trading (e.g. news/volatility rules),A stock split,,,,
,International,An ADR (American Depositary Receipt) lets U.S. investors…,Select the correct answer.,Multiple Choice,1,Trade claims on certain foreign company shares via a U.S.-listed instrument,Own FX futures only,Avoid all FX risk forever,Print stablecoins,,,,
,Liquidity,A market maker’s classic role is to…,Select the correct answer.,Multiple Choice,2,Guarantee your profits,Provide two-sided quotes / liquidity (educational),Set corporate guidance,Clear futures delivery,,,,
,Shorting,Short interest (intro) refers to…,Select the correct answer.,Multiple Choice,1,Shares currently sold short and not yet covered,Only dividend aristocrats,Open interest in oil futures only,RSI level,,,,
