,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Picture,https://upload.wikimedia.org/wikipedia/commons/2/23/Candlestick_pattern_bullish_engulfing.svg,Identify the candlestick pattern shown.,Picture,2,Bearish Engulfing,Bullish Engulfing,Inverted Hammer,Doji,,,,Wikimedia CC0 — bullish engulfing schematic
,Picture,https://upload.wikimedia.org/wikipedia/commons/0/0c/Candlestick_pattern_bearish_engulfing.svg,Identify the candlestick pattern shown.,Picture,1,Bearish Engulfing,Bullish Engulfing,Morning Star,Hammer,,,,Wikimedia CC0 — bearish engulfing schematic
,Picture,https://upload.wikimedia.org/wikipedia/commons/9/9d/Candlestick_pattern_bullish_Moring_Star.svg,Identify the candlestick pattern shown.,Picture,3,Doji,Head and Shoulders,Morning Star,Falling Wedge,,,,Wikimedia CC0 — Morning Star (Commons filename spelling Moring)
,Picture,https://upload.wikimedia.org/wikipedia/commons/7/78/Candlestick_pattern_Doji_Star.svg,Identify the candlestick pattern shown.,Picture,2,Hammer,Doji Star,Bullish Engulfing,Falling Wedge,,,,Wikimedia CC0 — Doji Star schematic
,Picture,https://upload.wikimedia.org/wikipedia/commons/6/6f/Candlestick_pattern_bullish_Doji_Star.svg,Identify the candlestick pattern shown.,Picture,1,Bullish Doji Star,Bearish Engulfing,Head and Shoulders,Shooting Star,,,,Wikimedia CC0 — bullish Doji Star
,Picture,https://upload.wikimedia.org/wikipedia/commons/0/06/Candlestick_pattern_bullish_Morning_Doji_Star.svg,Identify the candlestick pattern shown.,Picture,3,Evening Star,Hammer,Morning Doji Star,Falling Wedge,,,,Wikimedia CC0 — Morning Doji Star (related to Morning Star family)
,Picture,https://upload.wikimedia.org/wikipedia/commons/5/5b/Candlestick_pattern_bearish_Evening_Star.svg,Identify the candlestick pattern shown.,Picture,2,Morning Star,Evening Star,Doji,Bullish Engulfing,,,,Wikimedia CC0 — Evening Star (bearish counterpart teaching)
,Picture,https://upload.wikimedia.org/wikipedia/commons/a/a7/Candlestick_pattern_Shooting_Star.svg,Identify the candlestick pattern shown.,Picture,1,Shooting Star,Hammer,Morning Star,Doji,,,,Wikimedia CC0 — Shooting Star top reversal
,Concepts,Evening Star is best described as…,Select the correct answer.,Multiple Choice,2,A one-candle doji only,A three-candle bearish reversal near tops (counterpart teaching to Morning Star),An SMA crossover,A forex pip calculator,,,,Trainer teaches Morning Star; Commons Evening Star diagram for contrast
,Concepts,A Doji Star typically features…,Select the correct answer.,Multiple Choice,1,A doji-like gap/star candle in a reversal sequence,Only Bollinger squeeze math,Guaranteed LIVE fills,Balance-sheet equity only,,,,Recognition family adjacent to Doji / Morning Doji Star
,Anatomy,Open and close define the candle’s…,Select the correct answer.,Multiple Choice,1,Real body,Only volume bar,Dividend,Strike,,,,
,Anatomy,High and low extremes are shown by…,Select the correct answer.,Multiple Choice,2,Only the body color,Wicks / shadows,The exchange fee,P/E,,,,
,Anatomy,A long upper wick after a rally often hints at…,Select the correct answer.,Multiple Choice,3,Guaranteed continuation up,No supply,Rejection of higher prices (context-dependent),A stock split,,,,
,Single Candle,A Marubozu (intro) has…,Select the correct answer.,Multiple Choice,1,A long body with little/no wicks — strong directional conviction teaching,No open or close,Only dojis,Forced dividends,,,,
,Single Candle,Spinning top (intro) suggests…,Select the correct answer.,Multiple Choice,2,Maximum trend strength always,"Indecision / balanced battle (small body, longer wicks)",IPO completion,Futures delivery,,,,
,Context,Pattern reliability improves when you also check…,Select the correct answer.,Multiple Choice,1,"Trend context, location (support/resistance), and confirmation",Only the emoji in the chat,Only the logo color,Ignoring volume/location always,,,,
,TF,The same candle shape can mean different things at a top vs a bottom.,Select True or False.,True False,1,True,False,,,,,,
,Multi Candle,Engulfing patterns need…,Select the correct answer.,Multiple Choice,2,Exactly five years of data,A relationship between consecutive candle bodies,Only FX pips,A margin call,,,,
,Multi Candle,Stars (morning/evening families) are…,Select the correct answer.,Multiple Choice,1,"Multi-candle reversal sequences, not a single random wick",Bond ratings,Stablecoin pegs,IPOs,,,,
,Continuation vs Reversal,Continuation patterns suggest…,Select the correct answer.,Multiple Choice,3,The trend must end,Ownership changes,The prior trend is more likely to resume after pause (probabilistic),Zero risk,,,,
,Continuation vs Reversal,Reversal patterns suggest…,Select the correct answer.,Multiple Choice,1,A potential turn against the prior trend (needs confirmation),Guaranteed tops/bottoms,Automatic dividends,No need for context,,,,
,Confirmation,Waiting for confirmation can mean…,Select the correct answer.,Multiple Choice,2,Never trading again,Seeing follow-through (e.g. close beyond a level) before acting,Deleting the chart,Only using leverage,,,,
,Limits,Candlestick patterns alone…,Select the correct answer.,Multiple Choice,1,"Are probabilistic clues, not guarantees",Predict the future with certainty,Replace risk management,Equal filings,,,,
,FIB,The thin lines beyond the body are called ___ or shadows.,Select the answer that best fills the blank.,Fill in the blank,1,wicks,strikes,pips,coupons,,,,
,Flash,"Context over shape
====
Where a pattern prints (trend, level) matters as much as the geometry. Same shape ≠ same trade.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,SATA,Which improve candle reading? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4",Trend context,Nearby support/resistance,Assuming every doji reverses the market,Confirmation / follow-through,Ignoring location,,,
,Application,A hammer prints in the middle of a choppy range with no level. Best teaching takeaway?,Select the correct answer.,Multiple Choice,2,Guaranteed reversal — buy 10x,Weak signal without supportive context,Convert to a put automatically,Ignore all future hammers forever,,,,
