,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Application,A beginner wants traditional stock ownership literacy first. Best class?,Select the correct answer.,Multiple Choice,1,Equities,Crypto browse first forever,Only alt breakout packs,Skip all charts,,,,
,Concepts,Pairs like BTC/USDT in the Market UI represent…,Select the correct answer.,Multiple Choice,2,A LIVE brokerage ticket you must send,Educational Market chrome over SAMPLE packs,A bank ABA routing number,An ACLS epinephrine dose,,,,
,Concepts,Why keep distinct OHLC shapes across BTC/ETH/alt packs?,Select the correct answer.,Multiple Choice,1,So learners practice reading different tape contours,To claim LIVE fills,To price options Greeks,To guarantee profits,,,,
,What Is Crypto,Cryptocurrency is best introduced as…,Select the correct answer.,Multiple Choice,2,A government bond,A digital asset secured by cryptography/network consensus (varies by design),A stock certificate at DTCC always,A candlestick only,,,,
,Blockchain Basics,A blockchain (intro) is often described as…,Select the correct answer.,Multiple Choice,1,A distributed ledger of transactions shared across a network,A single bank spreadsheet only,An options Greek,A futures warehouse,,,,
,Bitcoin vs Alts,Bitcoin is commonly taught as…,Select the correct answer.,Multiple Choice,3,A preferred share,A pip,The original large-cap crypto asset many curricula start with,A margin type,,,,
,Bitcoin vs Alts,“Altcoins” generally means…,Select the correct answer.,Multiple Choice,1,Cryptocurrencies other than Bitcoin (broad teaching label),Only equity ETFs,Only FX majors,Only cash-settled futures,,,,
,Keys & Custody,A private key (concept)…,Select the correct answer.,Multiple Choice,2,Is public marketing copy,Controls spending authority for an address — loss/theft can mean permanent loss,Is the same as a stock CUSIP,Guarantees yield,,,,
,Keys & Custody,Self-custody vs exchange custody trade off…,Select the correct answer.,Multiple Choice,1,Control vs convenience/counterparty risk (educational framing),Guaranteed FDIC on all coins everywhere,Zero operational risk either way,Automatic diversification,,,,
,TF,Sending crypto to the wrong address can be irreversible on many networks.,Select True or False.,True False,1,True,False,,,,,,
,Spot & Pairs,A quote like BTC/USDT teaches…,Select the correct answer.,Multiple Choice,3,Stock ownership voting,Bond duration,Price of Bitcoin versus a USDT quote currency,RSI formula only,,,,
,Stablecoins,A stablecoin (intro) aims to…,Select the correct answer.,Multiple Choice,1,Track a reference (often USD) more tightly than volatile coins — still carries risks,Eliminate all crypto risk forever,Replace equities path,Be a candlestick,,,,
,Market Hours,Many crypto spot markets are…,Select the correct answer.,Multiple Choice,2,Only 9:30–16:00 Eastern always,Closer to 24/7 trading than cash equities sessions,Closed every weekend permanently worldwide,Identical to NYSE auctions only,,,,
,Volatility,Crypto assets are often characterized in teaching as…,Select the correct answer.,Multiple Choice,1,Typically higher volatility than large-cap equities (not a guarantee),Risk-free,Less volatile than cash,Non-tradable,,,,
,Risks,Major crypto risks include…,Select the correct answer.,Multiple Choice,3,Only missing dividends,Only contango,"Custody loss, scams, protocol/exchange failures, and sharp drawdowns",Guaranteed coupons,,,,
,SATA,Which are real educational risk themes in crypto? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,3,5",Irreversible transfers,Exchange/custody counterparty risk,Extreme volatility,Government-guaranteed APY on all tokens,Scam tokens / phishing,,,
,Exchanges,A centralized crypto exchange (CEX) concept…,Select the correct answer.,Multiple Choice,2,Is identical to the Fed,Matches buyers/sellers and often holds custody of user assets,Is a candlestick pattern,Is a stock split,,,,
,On-chain vs Off,On-chain settlement refers to…,Select the correct answer.,Multiple Choice,1,Transactions recorded on the blockchain network,Only NYSE prints,Only options assignment,Accounting accruals,,,,
,Vs Equities,"Unlike common stock, a typical crypto token usually does not…",Select the correct answer.,Multiple Choice,3,Have a price,Trade on any venue,Automatically grant corporate shareholder rights in a company,Have volatility,,,,
,Trainer Framing,Crypto Class in Stock Trainer…,Select the correct answer.,Multiple Choice,1,Is SAMPLE browse/drill — not the Beginner Equities spine,Replaces equities literacy,Is LIVE/REAL_TIME theater by claim,Is a Greeks engine,,,,
,FIB,BTC/USDT expresses Bitcoin’s price in units of the ___ currency USDT.,Select the answer that best fills the blank.,Fill in the blank,1,quote,dividend,margin,wick,,,,
,Flash,"Private key
====
Secret that authorizes spending from a crypto address. Lose it / leak it → funds can be gone permanently.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Stablecoin (intro)
====
Token designed to stay near a reference value (often USD). Still has issuer, peg, and smart-contract risks.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match crypto fundamentals.,Drag items into matching slots.,Mix and match,N/A,"Blockchain
===
Distributed transaction ledger","Private key
===
Spending authority secret","CEX
===
Centralized trading venue + custody model","Altcoin
===
Crypto other than Bitcoin (broad label)","Stablecoin
===
Peg-oriented digital dollar-like asset",,,
,Ranked,Order a cautious crypto literacy path.,Drag into the correct order.,Ranked,N/A,Learn what a token/network is,Learn custody/key risk,Learn volatility & scam patterns,Use SAMPLE charts — never treat app feeds as LIVE truth,,,,
,Application,A stranger DMs a “support agent” link asking for your seed phrase. Correct action?,Select the correct answer.,Multiple Choice,1,Never share seed/private keys; treat as scam,Send keys immediately,Post them on social for backup,Convert them to options Greeks,,,,
,Application,You want traditional shareholder ownership education first. Prefer…,Select the correct answer.,Multiple Choice,2,Only alt breakout packs,Equities path / equities quizzes,Skip all literacy,Only 24/7 crypto,,,,
,Consensus,Proof of Work (PoW) vs Proof of Stake (PoS) are…,Select the correct answer.,Multiple Choice,2,Candlestick names,Different consensus / security models used by networks,Equity order types,Futures ticks,,,,
,Network Fees,Gas / network fees pay for…,Select the correct answer.,Multiple Choice,1,Including a transaction in a busy blockchain network (teaching),NYSE specialist salaries only,Dividend reinvestment always,Pip calculation,,,,
,Protocol Change,A blockchain fork (intro) is…,Select the correct answer.,Multiple Choice,3,A stock split certificate,A forex session,A protocol/rules divergence that can create separate chains/histories,An SMA cross,,,,
,Metrics,Crypto market cap vs 24h volume — which is true?,Select the correct answer.,Multiple Choice,1,Market cap ≈ price × supply; volume is traded amount — different metrics,They are always equal,Volume replaces custody risk,Market cap is a candlestick,,,,
,Custody,A cold wallet (teaching) is…,Select the correct answer.,Multiple Choice,1,"Offline key storage — lower online hack surface, higher operational care",Always a CEX hot omnibus account,A futures clearinghouse,An ADR,,,,
