,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Hedgers vs Speculators,A speculator typically seeks…,Select the correct answer.,Multiple Choice,1,Profit from price moves without needing the physical exposure,Physical oil delivery only every time,To set exchange rules,To guarantee hedges for others,,,,
,Curve Shape,Contango (intro) often means…,Select the correct answer.,Multiple Choice,3,Spot always equals future forever,Equity P/E only,Deferred futures prices are higher than nearer prices (simplified teaching),RSI > 70,,,,
,Curve Shape,Backwardation (intro) often means…,Select the correct answer.,Multiple Choice,1,Nearer futures are richer than deferred (simplified teaching),Stocks cannot gap,No commodities exist,Options Greeks are required,,,,
,Basis,Basis risk (intro) is the risk that…,Select the correct answer.,Multiple Choice,2,Spreads are always zero,The hedge instrument doesn’t move perfectly with the exposure,IPOs never happen,Candles have no wicks,,,,
,Settlement,Cash-settled futures…,Select the correct answer.,Multiple Choice,1,"Settle in cash vs a reference, not physical delivery of barrels/bushels",Always deliver physical gold to your home,Are identical to common stock certificates,Have no expiry,,,,
,Settlement,Physically delivered futures may require…,Select the correct answer.,Multiple Choice,3,Only tweets,Only RSI,Arrangements around delivery of the underlying if held to expiry,No knowledge of the contract,,,,
,Notional,Contract multiplier / size determines…,Select the correct answer.,Multiple Choice,2,Your broker’s logo,How much economic exposure one contract represents,The company’s dividend,The chart color theme,,,,
,Trainer Framing,"In Stock Trainer, futures packs are…",Select the correct answer.,Multiple Choice,1,SAMPLE/STYLIZED educational tapes — not LIVE fills,LIVE order routing,A Greeks pricing engine,Primary IPO issuance,,,,
,FIB,Daily futures P&L settlement via prices is called mark-to-___.,Select the answer that best fills the blank.,Fill in the blank,1,market,margin only,moon,mix,,,,
,Flash,"Futures margin
====
Collateral/performance bond controlling a larger notional — leverage amplifies P&L; not the same as buying the full asset outright.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Hedger vs Speculator
====
Hedger offsets existing price risk; speculator seeks profit from moves without needing that commercial exposure.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match futures fundamentals.,Drag items into matching slots.,Mix and match,N/A,"Expiry
===
Contract end / settlement date","Roll
===
Shift exposure to a later contract","Contango
===
Deferred richer than near (intro)","Basis risk
===
Hedge imperfect vs exposure","Notional
===
Economic size of the contract",,,
,Ranked,Order futures literacy building blocks.,Drag into the correct order.,Ranked,N/A,Define contract + underlying,Learn margin/MTM leverage risk,Learn expiry/roll/settlement,Practice SAMPLE chart reading (not LIVE),,,,
,Application,A farmer locking a future sale price is acting most like a…,Select the correct answer.,Multiple Choice,1,Hedger,Index IPO underwriter,Preferred shareholder only,Candle pattern,,,,
,Application,You hold a futures position into expiry without understanding delivery terms. Main risk?,Select the correct answer.,Multiple Choice,2,Nothing — futures never expire,Unexpected delivery/settlement obligations or forced exit,Automatic stock dividends,Guaranteed profit,,,,
,Volume & OI,Open interest is…,Select the correct answer.,Multiple Choice,1,The number of outstanding futures contracts not yet closed/delivered,Only today’s share volume,Net income,Bid-ask spread,,,,
,Contract Specs,Tick size is…,Select the correct answer.,Multiple Choice,2,The CEO’s bonus,The minimum price increment for the contract,The dividend,A candlestick wick,,,,
,Spreads,A calendar (intra-commodity) futures spread typically trades…,Select the correct answer.,Multiple Choice,2,Only stocks vs bonds,Two different expiries of the same underlying against each other,Only crypto gas fees,Only ADR vs ordinary,,,,
,Expiry & Roll,The front-month futures contract is…,Select the correct answer.,Multiple Choice,1,The nearest actively quoted expiry (usual teaching),A preferred share class,An ADR,A stablecoin,,,,
,Market Structure,A clearinghouse (intro) stands between buyers and sellers to…,Select the correct answer.,Multiple Choice,3,Pick stocks for you,Set fiscal policy,Reduce counterparty risk via clearing/novation (educational),Issue IPOs,,,,
,Spreads,What is a calendar spread in futures?,Select the correct answer.,Multiple Choice,1,A spread trade across two delivery months of the same market,A stock vs bond pair only,A forex pip ladder,An ADR conversion,,,,
,Expiry & Roll,Front month / delivery month refers to…,Select the correct answer.,Multiple Choice,2,Preferred stock class,The contract month nearest expiry that traders usually quote first,A stablecoin ticker,Gross margin,,,,
