,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Income Statement,COGS sits between…,Select the correct answer.,Multiple Choice,1,Revenue and gross profit (simplified flow),Only equity and assets,Strike and premium,Bid and ask only,,,,
,Income Statement,Operating income (intro) is…,Select the correct answer.,Multiple Choice,2,Cash in the vault,Profit from core operations before some non-operating items (simplified),Share count,A pip,,,,
,Income Statement,One-time items can…,Select the correct answer.,Multiple Choice,3,Never appear,Only help forever,Distort a single period’s net income — read footnotes/context,Erase cash needs,,,,
,Balance Sheet,The accounting identity is…,Select the correct answer.,Multiple Choice,1,Assets = Liabilities + Equity,Revenue = Cash always,Price = Earnings always,Bid = Ask always,,,,
,Balance Sheet,Working capital (intro) relates to…,Select the correct answer.,Multiple Choice,2,Only long-term debt covenants,Near-term operating liquidity (current assets vs current liabilities teaching),Options Greeks,Candle wicks,,,,
,Balance Sheet,High leverage means…,Select the correct answer.,Multiple Choice,1,More debt relative to equity/cushion — amplifies outcomes,Zero risk,Automatic buybacks,No interest expense ever,,,,
,Cash Flow,The three classic cash-flow sections are…,Select the correct answer.,Multiple Choice,3,"Open, high, low","Call, put, strike","Operating, investing, financing","Bid, ask, mid",,,,
,Cash Flow,Capex typically appears as…,Select the correct answer.,Multiple Choice,1,Investing outflow to maintain/grow productive assets,Revenue,A dividend always,A short sale,,,,
,Quality,Earnings quality questions ask whether…,Select the correct answer.,Multiple Choice,2,Neon charts are green,Accrual profits are supported by cash and sustainable drivers,RSI > 70,Spreads are zero,,,,
,Ratios,ROE (intro) relates…,Select the correct answer.,Multiple Choice,1,Profit to shareholder equity,Price to volume only,Pips to lots,Wicks to bodies only,,,,
,Ratios,Current ratio (intro) relates…,Select the correct answer.,Multiple Choice,3,Price to earnings,Net income to revenue only,Current assets to current liabilities (liquidity cue),SMA to EMA,,,,
,TF,A company can report positive net income and still face cash stress.,Select True or False.,True False,1,True,False,,,,,,
,FIB,Assets = Liabilities + ___.,Select the answer that best fills the blank.,Fill in the blank,1,Equity,Revenue,Premium,Pip,,,,
,Flash,"Three statements
====
Income statement = performance over a period; Balance sheet = snapshot of resources/claims; Cash flow = cash movements by activity.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,SATA,Which belong on a balance sheet? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,3",Assets,Liabilities,Equity,Candlestick hammer,Pip size,,,
,Mix,Match statement section.,Drag items into matching slots.,Mix and match,N/A,"Revenue
===
Income statement top line","Operating cash flow
===
Cash from core business","Capex
===
Investing cash outflow","Debt
===
Balance sheet liability","Net margin
===
Net income / revenue",,,
,Application,"Revenue up, margins down, cash conversion weak. Process-first read?",Select the correct answer.,Multiple Choice,1,Investigate cost mix and working capital before celebrating growth,Buy 10x automatically,Ignore cash,Assume fraud without reading,,,,
,Application,P/E is high solely because earnings collapsed while price held. Teaching implication?,Select the correct answer.,Multiple Choice,2,The business printed infinite cash,The multiple rose because the E shrank — quality/sustainability questions remain,Liabilities vanished,RSI divergence,,,,
,Equity,Share dilution occurs when…,Select the correct answer.,Multiple Choice,2,The company buys back stock only,New shares are issued so each old share owns less of the pie,Candles gap,FX carries,,,,
