,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Compare Hours,Closest to 24/7 trading among these retail narratives?,Select the correct answer.,Multiple Choice,3,U.S. cash equity regular session only,Only NYSE auctions,Crypto spot markets (typical teaching contrast),Only quarterly earnings,,,,
,Compare Rights,Shareholder voting/dividends are features of…,Select the correct answer.,Multiple Choice,1,Equities,Spot FX,Most crypto tokens by default,Short-dated options always,,,,
,Use Cases,Hedging a future commodity sale maps best to…,Select the correct answer.,Multiple Choice,2,Buying random meme coins,Futures (classic hedge use-case),Collecting stock splits,Ignoring basis,,,,
,Use Cases,Expressing a view with defined premium risk maps best to…,Select the correct answer.,Multiple Choice,1,Long options (educational),Naked short stock with no plan,Unlimited FX leverage blindly,Ignoring expiry,,,,
,Use Cases,Currency conversion / relative rate views map to…,Select the correct answer.,Multiple Choice,3,Only IPOs,Only candlestick dojis,FX markets,Only preferred stock,,,,
,Learning Path,Stock Trainer keeps paths equities-first because…,Select the correct answer.,Multiple Choice,1,Traditional retail “stock market” literacy is the spine; other classes expand SAMPLE,Crypto replaces ownership forever,FX has no risk,Options LIVE chains ship here,,,,
,SATA,Which are SAMPLE expansion classes beyond equities in this app? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,3,4",Futures,Options context,Crypto,Forex,Guaranteed LIVE brokerage,,,
,TF,Every market type in this app offers LIVE order routing.,Select True or False.,True False,2,True,False,,,,,,
,FIB,Traditional retail stocks map to the app label ___.,Select the answer that best fills the blank.,Fill in the blank,1,Equities,Forex,Crypto,Futures only,,,,
,Flash,"Instrument chooser
====
Equity = ownership; Futures = standardized future commitment; Options = rights for premium; FX = currency pairs; Crypto = digital assets (each with distinct risks).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match learner goal → market type.,Drag items into matching slots.,Mix and match,N/A,"Own a slice of a company
===
Equities","Hedge oil price next quarter
===
Futures","Defined-risk bullish bet via premium
===
Long call (options)","EUR vs USD view
===
Forex","24/7 digital-asset tape practice
===
Crypto (SAMPLE)",,,
,Ranked,Order cross-market literacy.,Drag into the correct order.,Ranked,N/A,Master equities ownership & risk,"Learn how other markets differ (rights, hours, leverage)",Browse SAMPLE non-equity classes,Never confuse SAMPLE charts with LIVE brokerage,,,,
,Application,Client wants dividends and voting. Point them to…,Select the correct answer.,Multiple Choice,1,Equities,Spot FX only,Short-dated OTM lottery options only,Perpetual crypto leverage only,,,,
,Application,Client confuses a futures quote with owning the company. Correct teaching?,Select the correct answer.,Multiple Choice,2,They are identical claims,Futures are contracts on an underlying — not the same as equity ownership,Futures always pay dividends,Futures never expire,,,,
